SHIV JI 						
						
MANTRA 						
	नारायण सुक्तम	सहस्र शीर्षं देवं विश्वाक्षं विश्वशंभुवम् ।	https://youtu.be/vLP6gdiDbOU?si=jO6MgHWC3vJEyRrd			
		विश्वै नारायणं देवं अक्षरं परमं पदम् ॥				
	विष्णु भुजंग प्रयात स्तोत्र	चिदंशं विभुं निर्मलं निर्विकल्पं	https://youtu.be/yx_Koe1uOdI?si=AHlai-OftkIyeKnG			
		निरीहं निराकारमोङ्कारगम्यम् ।				
	श्री हरि स्तोत्रम्	जगज्जालपालं चलत्कण्ठमालंशरच्चन्द्रभालं महादैत्यकालं नभोनीलकायं दुरावारमायंसुपद्मासहायम् भजेऽहं भजेऽहं॥	https://youtu.be/gsHIPGDctJ0?si=0M-JKLTSQ47e8TaB			
						
CHALISA						
	विष्णु चालीसा	विष्णु सुनिए विनय सेवक की चितलाय। कीरत कुछ वर्णन करूं दीजै ज्ञान बताय।	https://youtu.be/yPiSJP34-QM?si=YnJXYPnTNuwpbv0L			
						
ASHTAKAM						
	अच्युताष्टकम	अच्युतं केशवं रामनारायणं	https://youtu.be/gy07mltqNRc?si=qzWa5TytleC7FSax			
		कृष्णदामोदरं वासुदेवं हरिम् ।				
						
STUTI						
	श्री विष्णु स्तुति	शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं	https://youtu.be/XAxNnRPoyiU?si=SzEsaZlOfS48Hd-b			
		विश्वाधारं गगनसदृशं मेघवर्णं शुभाङ्गम्।				
						
AARTI						
	-	ओम जय जगदीश हरे	https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b			
						
SHLOKAS						
	नमोऽस्त्वनन्ताय 	नमोऽस्त्वनन्ताय सहस्रमूर्तये सहस्रपादाक्षिशिरोरुबाहवे। सहस्रनाम्ने पुरुषाय शाश्वते सहस्रकोटियुगधारिणे नमः॥	https://youtu.be/LG28JZIvNsc?si=aHLn3k0UYaxwBxWH			
	यदा यदा ही धर्मस्य	यदा यदा ही धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥	https://youtu.be/1AOgbhmP0ig?si=41xOtRemY_fBbdT2			
	कायेन वाचा 	कायेन वाचा मनसेन्द्रियैर्वा बुद्ध्यात्मना वा प्रकृतेः स्वभावात्। करोमि यद्यत् सकलं परस्मै नारायणायेति समर्पयामि॥	https://youtu.be/CAc9h7oTjrM?si=oeZgKcwyJsEpKqOo			
	सशंखचक्रं सकिरीटकुण्डलं 	सशंखचक्रं सकिरीटकुण्डलं सपीतवस्त्रं सरसीरुहेक्षणम्। सहारवक्षःस्थलशोभिकौस्तुभं नमामि विष्णुं शिरसा चतुर्भुजम्॥	https://youtu.be/_TGfTsdHi0c?si=S1p1qdhJL2vCsEl6			
	त्वमेव माता च पिता त्वमेव	त्वमेव माता च पिता त्वमेव, त्वमेव बन्धुश्च सखा त्वमेव। त्वमेव विद्या द्रविणं त्वमेव, त्वमेव सर्वं मम देव देव॥	https://youtu.be/JSVctoNlPKs?si=W7kvcuUvTsv_KM5A			
						
BHAJAN						
	-	अच्युतम केशवम कृष्ण दामोदरम	https://youtu.be/3yczGKnskts?si=--z5nTrp4XW8mSRd			
	-	श्रीमन नारायण नारायण हरी हरी	https://youtu.be/MuVrsDfgwI0?si=ttg63rMJqtDATiJg			
	-	नमो नमो श्री नारायण जय बैकुण्ड बिहारी 	https://youtu.be/ABNYMP9z8qk?si=EkfBRWlZWFeDBGaz			
	-	सारे जहाँ के मालिक तेरा ही आसरा है	https://youtu.be/-JYk923PASE?si=wruS-9FuWwzEb6X5			
	-	हरी आ जाओ एक बार	https://youtu.be/Ylxbl767w_w?si=2tEunpeyYL5Rxs1d			
						
KATHA 						
		सत्यनारायण व्रत कथा:	https://youtu.be/JCU2B7718PY?si=YHivudgRSSDMI3uY			
		समुद्र मंथन की कथा:	https://youtu.be/ib4O0n3PH8o?si=gM39DNbgDuWKfvFA			
		दशावतार कथा:	https://youtu.be/URoRSBBZFgg?si=T85HrSjmY0jyqqr3			
		नरसिंह अवतार और प्रह्लाद की कथा	https://youtu.be/HhLUl36i2gs?si=Qbhw_Rvjr7barqml			
		वामन अवतार और राजा बलि की कथा	https://youtu.be/fDzcm2RKM4s?si=nQip96jtyul3SEsn			
		विष्णु जी और माता लक्ष्मी के विवाह की कथा	https://youtu.be/iZkxNZpqQ4s?si=8wxeb0gCobXxfiQH			
		शालिग्राम बनने की कथा	https://youtu.be/Ik_zhFLWVA0?si=cC6xuVXf48XoS0dP			
		गुरुवार व्रत कथा	https://youtu.be/7_YKhtWKfX8?si=AWwS-7AgfKFaduT9			
						
						
LAKSHMI JI 						
						
MANTRA 						
	महालक्ष्मी बीज मंत्र	ॐ श्रीं ह्रीं श्रीं कमले कमलालये प्रसीद प्रसीद ॐ श्रीं ह्रीं श्रीं महालक्ष्मयै नम:।	https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf			
	-	ॐ श्री महालक्ष्म्यै नमः	https://youtu.be/g_czAYo3MKQ?si=gMXItXZe4oVrD-co			
	लक्ष्मी गायत्री मंत्र	ॐ श्री महालक्ष्म्यै च विद्महे विष्णु पत्न्यै च धीमहि तन्नो लक्ष्मी प्रचोदयात्॥	https://youtu.be/HeqiNrjiCfk?si=euAnm4LHlwCrPpSH			
	 श्री सिद्ध लक्ष्मी मंत्र	ॐ श्रीं ह्रीं क्लीं श्री सिद्ध लक्ष्म्यै नम:।	https://youtu.be/m8hvtU9Lzzk?si=Y9IBp48e1VidVKd4			
	-	 ॐ धनाय नमो नमः 	https://youtu.be/HkdHyXjagiU?si=4GOKIUcqQY6_aHZB			
	 सर्वबाधा निवारण मंत्र	ॐ सर्वाबाधा विनिर्मुक्तो, धन धान्य सुतान्वितः। मनुष्यो मत्प्रसादेन भविष्यति न संशयः ॥	https://youtu.be/QI_N_P6aZ7s?si=liGVZcINpHYs6PdJ			
	-	ॐ ह्रीं ह्रीं श्री लक्ष्मी वासुदेवाय नम:।	https://youtu.be/qR-PxhTOZXY?si=ZBtgkGLQ_x7io_NN			
						
STOTRAM						
	श्री सूक्तम:	ॐ हिरण्यवर्णां हरिणीं सुवर्णरजतस्रजाम्।	https://youtu.be/OC7LQxuhQUU?si=Dk4q0uGOrbCSfm7I			
		चन्द्रां हिरण्मयीं लक्ष्मीं जातवेदो म आ वह ॥				
	कनकधारा स्तोत्र:	अंगहरे पुलकभूषण माश्रयन्ती भृगांगनैव मुकुलाभरणं तमालम।	https://youtu.be/3Y1JGvieOBk?si=wIIGJG8nmjPlyBfv			
	लक्ष्मी हृदय स्तोत्र	श्रीमत सौभाग्यजननीं, स्तौमि लक्ष्मीं सनातनीं। सर्वकामफलावाप्ति साधनैक सुखावहां	https://youtu.be/phOoGvDu_h4?si=XKx4FvAb65DYm0Vv			
